Game Turn, Player, Boosted System, Progress
184, 4, CIVIC_SUFFRAGE, Unstarted
185, 21, CIVIC_SOCIAL_MEDIA, Unstarted
186, 16, CIVIC_URBANIZATION, Completed
186, 20, CIVIC_SOCIAL_MEDIA, Unstarted
186, 24, CIVIC_SOCIAL_MEDIA, Unstarted
191, 15, CIVIC_SOCIAL_MEDIA, Unstarted
194, 0, TECH_TELECOMMUNICATIONS, Unstarted
195, 16, CIVIC_SOCIAL_MEDIA, Unstarted
196, 0, TECH_STEEL, Unstarted
199, 0, TECH_RIFLING, Unstarted
201, 7, TECH_PRINTING, Unstarted
202, 10, CIVIC_SOCIAL_MEDIA, Unstarted
203, 4, CIVIC_SCORCHED_EARTH, Unstarted
204, 22, CIVIC_SOCIAL_MEDIA, Unstarted
207, 7, CIVIC_SUFFRAGE, Unstarted
210, 21, CIVIC_URBANIZATION, Completed
211, 0, TECH_NANOTECHNOLOGY, Unstarted
214, 5, TECH_COMBINED_ARMS, Unstarted
215, 2, CIVIC_CLASS_STRUGGLE, Unstarted
233, 0, TECH_ADVANCED_BALLISTICS, In Progress
233, 10, CIVIC_COLD_WAR, Completed
233, 12, CIVIC_COLD_WAR, Completed
233, 15, CIVIC_COLD_WAR, Completed
233, 20, CIVIC_COLD_WAR, Completed
233, 22, CIVIC_COLD_WAR, Completed
233, 24, CIVIC_COLD_WAR, Completed
235, 16, CIVIC_COLD_WAR, Completed
236, 9, CIVIC_COLD_WAR, Completed
257, 14, CIVIC_COLD_WAR, Completed
260, 21, CIVIC_COLD_WAR, Completed
262, 10, CIVIC_NATIONALISM, Completed
262, 15, CIVIC_URBANIZATION, Completed
