Turn, Event, Origin Civ, Destination Civ, Total Tokens Given
182, Token used by 7, 7, 22, 1
183, Token used by 0, 0, 16, 2
183, Token used by 0, 0, 16, 3
184, Token used by 4, 4, 20, 4
185, Token used by 1, 1, 14, 5
185, Token used by 6, 6, 16, 4
186, Token used by 6, 6, 16, 5
186, Token used by 6, 6, 16, 6
186, Token used by 7, 7, 12, 3
186, Token used by 7, 7, 12, 4
188, Token used by 0, 0, 12, 4
189, Token used by 2, 2, 20, 7
189, Token used by 2, 2, 20, 8
189, Unique Bonus received by 2, 2, 20, 8
189, Token used by 2, 2, 20, 9
189, Token used by 5, 5, 14, 1
189, Token used by 5, 5, 14, 2
190, Token used by 0, 0, 21, 4
190, Token used by 0, 0, 12, 5
190, Token used by 0, 0, 12, 6
190, Token used by 0, 0, 21, 5
190, Token used by 0, 0, 21, 6
192, Token used by 5, 5, 10, 1
195, Token used by 2, 2, 14, 9
195, Unique Bonus received by 2, 2, 14, 9
195, Token used by 2, 2, 14, 10
195, Token used by 2, 2, 14, 11
195, Token used by 6, 6, 21, 5
197, Token used by 6, 6, 21, 6
197, Token used by 6, 6, 21, 7
198, Token used by 4, 4, 20, 5
198, Token used by 4, 4, 20, 6
198, Token used by 4, 4, 20, 7
198, Token used by 6, 6, 16, 7
199, Token used by 2, 2, 21, 8
199, Unique Bonus received by 2, 2, 21, 8
199, Token used by 2, 2, 21, 9
199, Token used by 2, 2, 21, 10
200, Token used by 1, 1, 14, 6
200, Token used by 1, 1, 20, 2
200, Token used by 1, 1, 20, 3
200, Token used by 1, 1, 20, 4
202, Token used by 4, 4, 15, 6
205, Token used by 7, 7, 24, 3
205, Token used by 7, 7, 24, 4
207, Token used by 5, 5, 21, 8
208, Token used by 4, 4, 22, 1
208, Token used by 5, 5, 14, 3
208, Token used by 5, 5, 14, 4
210, Token used by 0, 0, 12, 7
210, Token used by 0, 0, 12, 8
210, Unique Bonus received by 0, 0, 12, 8
210, Token used by 0, 0, 12, 9
210, Token used by 0, 0, 12, 10
211, Token used by 0, 0, 12, 11
212, Token used by 0, 0, 22, 7
212, Token used by 0, 0, 22, 8
215, Token used by 6, 6, 12, 1
215, Token used by 6, 6, 12, 2
216, Token used by 0, 0, 12, 12
216, Token used by 7, 7, 10, 2
217, Token used by 4, 4, 24, 4
217, Token used by 4, 4, 24, 5
217, Token used by 4, 4, 24, 6
218, Token used by 1, 1, 10, 5
218, Unique Bonus received by 1, 1, 10, 5
218, Token used by 1, 1, 10, 6
218, Token used by 1, 1, 10, 7
219, Token used by 6, 6, 24, 1
223, Token used by 7, 7, 10, 3
224, Token used by 7, 7, 10, 4
225, Token used by 7, 7, 10, 5
225, Token used by 7, 7, 10, 6
227, Token used by 5, 5, 20, 1
227, Token used by 5, 5, 20, 2
229, Token used by 0, 0, 22, 9
229, Unique Bonus received by 0, 0, 22, 9
229, Token used by 0, 0, 22, 10
229, Token used by 0, 0, 22, 11
231, Token used by 2, 2, 15, 1
231, Token used by 2, 2, 15, 2
231, Token used by 2, 2, 15, 3
231, Token used by 2, 2, 15, 4
231, Token used by 2, 2, 15, 5
231, Token used by 2, 2, 15, 6
234, Token used by 6, 6, 12, 3
234, Token used by 6, 6, 12, 4
235, Token used by 5, 5, 14, 5
236, Token used by 1, 1, 22, 4
236, Token used by 1, 1, 22, 5
236, Token used by 1, 1, 22, 6
236, Token used by 4, 4, 14, 5
236, Token used by 4, 4, 14, 6
236, Token used by 4, 4, 14, 7
246, Token used by 7, 7, 14, 1
246, Token used by 7, 7, 14, 2
246, Token used by 7, 7, 14, 3
247, Token used by 2, 2, 9, 1
247, Token used by 2, 2, 9, 2
247, Token used by 2, 2, 9, 3
248, Token used by 0, 0, 24, 7
248, Unique Bonus received by 0, 0, 24, 7
248, Token used by 0, 0, 24, 8
248, Token used by 5, 5, 20, 3
248, Token used by 5, 5, 20, 4
248, Token used by 5, 5, 20, 5
250, Token used by 4, 4, 10, 5
251, Token used by 4, 4, 10, 6
252, Token used by 4, 4, 10, 7
252, Token used by 4, 4, 10, 8
252, Unique Bonus received by 4, 4, 10, 8
253, Token used by 4, 4, 14, 8
253, Token used by 4, 4, 14, 9
254, Token used by 1, 1, 24, 5
254, Token used by 1, 1, 24, 6
254, Token used by 1, 1, 24, 7
254, Token used by 4, 4, 14, 10
254, Token used by 6, 6, 10, 2
254, Token used by 6, 6, 10, 3
254, Token used by 6, 6, 10, 4
255, Token used by 4, 4, 14, 11
255, Token used by 4, 4, 14, 12
255, Unique Bonus received by 4, 4, 14, 12
255, Token used by 4, 4, 14, 13
256, Token used by 0, 0, 16, 4
257, Token used by 0, 0, 24, 9
257, Token used by 6, 6, 10, 5
264, Token used by 7, 7, 22, 2
264, Token used by 7, 7, 22, 3
264, Token used by 7, 7, 22, 4
265, Token used by 2, 2, 9, 4
265, Token used by 2, 2, 9, 5
265, Token used by 2, 2, 9, 6
266, Token used by 5, 5, 20, 6
266, Token used by 5, 5, 20, 7
266, Token used by 5, 5, 20, 8
267, Token used by 0, 0, 10, 4
267, Token used by 0, 0, 10, 5
267, Token used by 0, 0, 10, 6
267, Token used by 0, 0, 16, 5
268, Token used by 6, 6, 12, 5
268, Token used by 6, 6, 12, 6
273, Token used by 1, 1, 20, 5
273, Token used by 1, 1, 20, 6
273, Token used by 1, 1, 20, 7
273, Token used by 4, 4, 20, 8
273, Token used by 4, 4, 20, 9
273, Token used by 4, 4, 20, 10
273, Unique Bonus received by 4, 4, 20, 10
